epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,71.315178,42.889999
1.000000,63.529099,52.240002
2.000000,61.415726,55.119999
3.000000,48.522419,65.529999
4.000000,45.114788,67.980003
5.000000,41.563892,71.459999
6.000000,38.620747,73.449997
7.000000,37.014282,75.000000
8.000000,40.175110,72.330002
9.000000,35.695747,75.940002
10.000000,32.738983,78.269997
11.000000,35.279263,75.940002
12.000000,33.473331,78.230003
13.000000,33.017693,78.320000
14.000000,40.865925,71.199997
15.000000,33.627285,77.260002
16.000000,29.646349,80.459999
17.000000,30.752079,79.919998
18.000000,29.601370,80.760002
19.000000,27.958553,82.250000
20.000000,31.409096,78.879997
21.000000,29.732687,80.930000
22.000000,28.829758,80.830002
23.000000,26.937294,82.610001
24.000000,29.276676,80.779999
25.000000,31.299896,79.040001
26.000000,29.352322,80.500000
27.000000,27.620941,81.730003
28.000000,26.721127,82.889999
29.000000,28.016249,81.690002
30.000000,28.633247,81.029999
31.000000,27.964863,81.750000
32.000000,28.764442,81.089996
33.000000,25.780319,83.519997
34.000000,25.981142,83.250000
35.000000,25.467541,83.300003
36.000000,26.318943,82.570000
37.000000,26.267069,82.879997
38.000000,26.674740,82.510002
39.000000,25.668108,83.839996
40.000000,25.014927,83.970001
41.000000,30.794043,79.449997
42.000000,26.835920,82.589996
43.000000,27.555346,82.180000
44.000000,26.154108,83.430000
45.000000,26.539747,82.760002
46.000000,29.091921,80.610001
47.000000,28.200857,81.279999
48.000000,27.450607,81.470001
49.000000,31.190378,78.800003
50.000000,26.693810,82.470001
51.000000,25.678158,83.379997
52.000000,27.220253,81.809998
53.000000,27.624182,82.129997
54.000000,26.166296,82.849998
55.000000,25.964045,83.459999
56.000000,24.787262,83.680000
57.000000,29.441792,80.540001
58.000000,26.236433,82.730003
59.000000,26.873432,82.269997
60.000000,24.825729,84.040001
61.000000,28.853388,80.080002
62.000000,29.193039,80.660004
63.000000,28.173124,80.769997
64.000000,27.699812,81.570000
65.000000,29.646416,80.389999
66.000000,26.272177,82.959999
67.000000,26.621172,82.650002
68.000000,27.889929,81.389999
69.000000,26.327772,82.430000
70.000000,26.696651,82.620003
71.000000,24.948561,83.709999
72.000000,25.305361,83.709999
73.000000,28.329636,81.010002
74.000000,28.799679,80.190002
75.000000,30.062727,79.559998
76.000000,27.809155,81.860001
77.000000,23.406897,85.309998
78.000000,27.952188,81.610001
